Localidade / Cultura,Área Plantada (hectares),Participação no DF (%),Producão (toneladas),Participação no DF (%).1,Produtores,Unnamed: 0,Unnamed: 1,Participação no ESLOC (%),Participação no DF (%),Participação no ESLOC (%),Participação no DF (%).1,Producão   (toneladas)
Mamão,"0,35",,"1,50",,2.0,,,"0,52","5,02","0,26","1,44",
Laranja,"0,20",,"3,20",,2.0,,,"0,30","0,21","0,56","0,15",
Paranoá,"48,57",,"728,86",,,,,"100,00","2,06","100,00","1,81",
Subtotal,"41,41",,"665,70",,,,,"85,26",,"91,34",,
Banana,"8,36",,"125,82",,63.0,,,"17,22","2,43","17,26","2,03",
Limão,"6,16",,"146,40",,57.0,,,"12,68","2,28","20,09","2,19",
Manga,"6,05",,"58,46",,58.0,,,"12,45","6,49","8,02","5,28",
Uva,"5,70",,"106,00",,11.0,,,"11,74","7,90","14,54","10,48",
Abacate,"4,13",,"30,38",,14.0,,,"8,50","0,90","4,17","0,46",
Tangerina,"3,50",,"57,00",,16.0,,,"7,21","2,02","7,82","1,73",
Goiaba,"2,60",,"26,00",,5.0,,,"5,35","0,60","3,57","0,41",
Maracujá,"2,36",,"72,50",,15.0,,,"4,86","1,86","9,95","1,85",
Laranja,"1,40",,"24,90",,19.0,,,"2,88","1,45","3,42","1,19",
Maracujá Pérola,"1,15",,"18,24",,2.0,,,"2,37","10,63","2,50","12,30",
Pipiripau,"128,88",,"3.426,91",,,,,"100,00","5,48","100,00","8,69",
Subtotal,"123,97",,"3.411,69",,,,,"96,20",,"99,55",,
Laranja,"40,55",,"1.608,80",,3.0,,,"31,46","42,13","46,95","76,60",
Banana,"33,40",,"852,08",,37.0,,,"25,91","9,71","24,86","13,75",
Limão,"18,22",,"487,04",,32.0,,,"14,14","6,74","14,21","7,28",
Lichia,"7,00",,"87,50",,2.0,,,"5,43","21,35","2,55","22,11",
Goiaba,"6,60",,"62,90",,12.0,,,"5,12","1,52","1,84","1,00",
Abacate,"5,06",,"69,30",,13.0,,,"3,93","1,11","2,02","1,04",
Pitaia,"4,70",,"53,91",,7.0,,,"3,65","13,27","1,57","20,82",
Maracujá,"3,99",,"113,16",,11.0,,,"3,10","3,15","3,30","2,88",
Tangerina,"2,65",,"41,00",,3.0,,,"2,06","1,53","1,20","1,25",
Uva,"1,80",,"36,00",,1.0,,,"1,40","2,49","1,05","3,56",
Planaltina,"179,16",,"3.486,03",,,,,"100,00","7,61","100,00","8,67",
Subtotal,"168,30",,"3.344,45",,,,,"93,94",,"95,93",,
Limão,"42,39",,"949,54",,116.0,,,"23,66","15,68","27,24","14,20",
Banana,"25,29",,"377,05",,133.0,,,"14,12","7,35","10,82","6,09",
Lichia,"20,00",,"250,00",,1.0,,,"11,16","61,00","7,17","63,16",
Abacate,"19,49",,"287,06",,54.0,,,"10,88","4,26","8,23","4,30",
Tangerina,"18,28",,"304,42",,32.0,,,"10,20","10,55","8,73","9,26",
Manga,"12,13",,"112,46",,11.0,,,"6,77","13,01","3,23","10,16",
Uva,"11,00",,"388,00",,8.0,,,"6,14","15,24","11,13","38,36",
Maracujá,"9,56",,"384,28",,33.0,,,"5,33","7,53","11,02","9,78",
