Localidade,Cultura,Área Plantada (hectares),Participação no DF (%),Producão (toneladas),Participação no DF (%).1,Produtores,Participação no ESLOC (%),Participação no DF (%),Participação no ESLOC (%),Participação no DF (%).1,Producão   (toneladas)
Pipiripau,Maracujá,"3,99",,"113,16",,11.0,
Pipiripau,Tangerina,"2,65",,"41,00",,3.0,
Pipiripau,Uva,"1,80",,"36,00",,1.0,
Pipiripau,Planaltina,"179,16",,"3.486,03",,,
Planaltina,Limão,"42,39",,"949,54",,116.0,
Planaltina,Banana,"25,29",,"377,05",,133.0,
Planaltina,Lichia,"20,00",,"250,00",,1.0,
Planaltina,Abacate,"19,49",,"287,06",,54.0,
Planaltina,Tangerina,"18,28",,"304,42",,32.0,
Planaltina,Manga,"12,13",,"112,46",,11.0,
Planaltina,Uva,"11,00",,"388,00",,8.0,
Planaltina,Maracujá,"9,56",,"384,28",,33.0,
Planaltina,Laranja,"6,70",,"201,94",,21.0,
Planaltina,Goiaba,"3,47",,"89,70",,5.0,
Planaltina,Rio Preto,"143,07",,"2.506,65",,,
Rio Preto,Abacate,"89,56",,"1.211,00",,30.0,
Rio Preto,Tangerina,"19,91",,"604,84",,27.0,
Rio Preto,Banana,"15,73",,"252,76",,16.0,
Rio Preto,Limão,"11,48",,"343,24",,18.0,
Rio Preto,Maracujá,"3,97",,"78,90",,13.0,
Rio Preto,Jabuticaba,"0,50",,"2,00",,1.0,
Rio Preto,Manga,"0,50",,"8,00",,1.0,
Rio Preto,Pitaia,"0,50",,"4,00",,1.0,
Rio Preto,Graviola,"0,50",,"1,25",,1.0,
Rio Preto,Laranja,"0,01",,"0,36",,1.0,
Rio Preto,São Sebastião,"29,13",,"258,55",,,
São Sebastião,Maracujá,"10,72",,"73,19",,23.0,
São Sebastião,Manga,"5,24",,"52,24",,64.0,
São Sebastião,Banana,"5,14",,"74,41",,188.0,
São Sebastião,Limão,"2,85",,"30,44",,98.0,
São Sebastião,Maracujá Pérola,"1,38",,"13,25",,6.0,
São Sebastião,Tangerina,"0,47",,"3,52",,25.0,
São Sebastião,Abacate,"0,44",,"4,81",,89.0,
São Sebastião,Laranja,"0,34",,"3,24",,65.0,
São Sebastião,Abacaxi,"0,13",,"1,02",,21.0,
São Sebastião,Pitaia,"0,13",,"0,80",,4.0,
